strain,rep,hpi,source,target,weight,tx,ty,px_size_x_source,px_size_y_source,px_size_x_target,px_size_y_target,warning
PR8,0,6,10,11,3.200087699866129e-09,-7.831998309785871e-07,-8.318086464212459e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,8,9,3.6265312908824934e-09,-7.606461616823341e-07,7.38504401952566e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,0,5,3.4944215263528862e-09,-7.339730529721888e-07,4.633288740961343e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,0,1,3.4002426595161147e-09,6.608538013644492e-07,7.475670508063145e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,1,4,3.473209765268995e-09,-8.842280182099392e-07,1.0329381261453468e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,1,2,3.357649985959175e-09,4.6641839227279597e-07,7.40873078387879e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,2,3,3.473209765268995e-09,-7.258372497500376e-07,1.3192360225624732e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,6,11,3.426300501918087e-09,-5.773330965978725e-07,1.8351901986770403e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,6,7,3.4002426595153976e-09,5.01433258988335e-07,5.544704460197497e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,7,10,3.513896057464606e-09,-6.795970616356857e-07,4.729064590149951e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,7,8,3.3789566572684297e-09,2.459278370347371e-07,5.92780834802199e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,7,8,9,3.4732303622390182e-09,-5.66210752590681e-07,5.752734014444295e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,8,0,5,3.3342489364507078e-09,-6.240882208193865e-07,4.607542428775789e-07,1.029848558931068e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,pixel sizes differ between source_img and target_img
